hospital_name,city,county,state,zip_code,address,hospital_type,System,Beds,link_financial_assistance,financial_assistance_info,fap_link,policy_available,qualifying_incom_free_care,qualifying_incom_discounted_care,asset_test,provision_for_medical_bill,residency_restriction,reports_unpaid_bills,uses_third_party,sells_debt,sues_patients,garnishes_wages,restricts_care,
CALDWELL MEDICAL CENTER,PRINCETON,,KY,,100 MEDICAL CENTER DRIVE,Other not-for-profit (including NFP Corporation),maybe managed by QHR Health,25,No,Yes,Financial-Assistance-Policy.pdf (caldwellmedical.com),Billing-and-Collections.pdf (caldwellmedical.com),<100% FPL,100-200% FPL,Yes per FA app,None mentioned,Yes per FAP,Unclear; not mentioned in policy,Yes,Unclear; not mentioned in policy,Unclear; not mentioned in policy,Unclear; not mentioned in policy,Yes,
ST CLAIRE REGIONAL MEDICAL CENTER,MOREHEAD,,KY,,222 MEDICAL CIRCLE,"Voluntary Nonprofit, Church",No,126,No,Yes,Not found on the hospital website,Not found on the hospital website,Not found on the hospital website,"At or below 200% FPL (sliding scale, up to 100%) per the Financial Assistance webpage on the hospital website",Not found on the hospital website,"Yes, for uninsured patients, 25% discount off total charges to all uninsured patients who qualify for financial assistance regardless of ability to pay and 60% discount off total charges for patients who do not qualify for financial assistance per the Financial Assistance webpage","Yes, to be eligible, patient must reside in the hospital's 11-county service area (must be a resident of Kentucky for emergency coverage), per the Financial Assistance webpage ",Not found on the hospital website,Not found on the hospital website,Not found on the hospital website,Not found on the hospital website,Not found on the hospital website,Not found on the hospital website,
ST FRANCIS MEDICAL CENTER,MONROE,,LA,,309 JACKSON STREET,"Church-operated, Non-government, not-for-profit","Franciscan Missionaries of Our Lady Health System, Inc.  ",352,No,yes,https://fmolhs.org/assets/documents/financial-assistance/feb-2022/stfrancis_financialassistance_feb2022.pdf,included in FAP,At or below 275% FPL per Financial Assistance policy,n/a,Yes per the Financial Assistance policy,">275% FPL may receive Financial Assistance If the patient’s medical bills for the 12 months immediately preceding treatment are greater than or equal to twenty percent (20%) of their annual family income, per Financial Assistance policy","No, this is not a practice of the hospital per the Billing and Collection policy",Yes per the Financial Assistance policy,Yes per the Financial Assistance policy,"No, this is not a practice of the hospital per the Billing and Collection policy",Yes per the Financial Assistance policy,Yes per the Financial Assistance policy,"Not mentioned in policy, but not a practice of the hospital per Saundra Nalley",
PHYSICIANS MEDICAL CENTER,HOUMA,,LA,,218 CORPORATE DRIVE,"Corporation, Investor-owned, for-profit",No,15,No,No,No,No,,,,,,,,,,,,
OUR LADY OF THE LAKE SURGICAL HOSPITAL,SLIDELL,,LA,,1700 W LINDBERG DRIVE,"Corporation, Investor-owned, for-profit",No,37,Yes,No search function,https://docs.google.com/document/d/1dagF6XTfFVsjuQx7NwBjJ9z94j3T6b5N/edit?usp=sharing&ouid=104823230229410291386&rtpof=true&sd=true,This information is included in the FAP,at or below 250% FPL per the Financial Assistance Policy,annual income greater than 250% case-by-case basis per the FAP ,"Yes, per the Financial Assistance policy","Yes, if the previous 12 month billed charges greater than 20% anual income may be considered for free care on a case-by-case basis per the Financial Assistance Policy",none mentioned,"Yes, per the Financial Assistance Policy","Yes, per the Financial Assistance Policy",not mentioned,"Yes, per the Financial Assistance Policy","Yes, per the Financial Assistance Policy",not mentioned,
TERREBONNE GENERAL MEDICAL CENTER,HOUMA,,LA,,8166 MAIN STREET,Governmental Hospital District,No,230,No,Yes,Financial_Assistance_Program_English-2022.pdf (tghealthsystem.com),https://docs.google.com/document/d/1dMFqDAJD3maXkSElapF2e0u1BJBmk4-t/edit?usp=sharing&ouid=104823230229410291386&rtpof=true&sd=true,<150% FPL per Financial Assistance Policy,151-300% FPL per the Financial Assistance Policy,"Yes, per the Financial Assistance Policy","Yes, on a case-by-case basis","Yes; to be eligible for financial assistance, the patient must be a resident of the state of Louisianna per the Financial Assistance policy","Yes, per the Billing and Collections policy","Yes, per the Billing and Collections policy",Unclear; not mentioned in policy,"Yes, per the Billing and Collections policy","Yes, garnishment of wages per the Billing and Collections policy

There is no mention of placing liens",Unclear; not mentioned in policy,
ST HELENA PARISH HOSPITAL,GREENSBURG,,LA,,16874 HIGHWAY 43,"Hospital district or authority-Government, non-federal",No,16,No,No,No,No,,,,,,,,,,,,
PREVOST MEMORIAL HOSPITAL,DONALDSONVILLE,,LA,,301 MEMORIAL DR,"Hospital district or authority-Government, non-federal",No,25,No,No,No,No,Unclear; no avaliable policy,Unclear; no avaliable policy,Unclear; no avaliable policy,Unclear; no avaliable policy,Unclear; no avaliable policy,Unclear; no avaliable policy,Unclear; no avaliable policy,Unclear; no avaliable policy,Unclear; no avaliable policy,Unclear; no avaliable policy,Unclear; no avaliable policy,
SABINE MEDICAL CENTER,MANY,,LA,,240 HIGHLAND DRIVE,"Individual, Investor-owned, for-profit",Allegiance Health Management,24,No,No,No,No,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,
OPELOUSAS GENERAL HEALTH SYSTEM,OPELOUSAS,,LA,,539 EAST PRUDHOMME STREET,Other not-for-profit (including NFP Corporation),No,187,No,No,No,No,,,,,,,,,,,,
LAKE CHARLES MEMORIAL HOSPITAL,LAKE CHARLES,,LA,,1701 OAK PARK BLVD,Other not-for-profit (including NFP Corporation),No,324,1-click,yes,LCMH UCC Policy,No,At or below 200% FPL per the Financial Assistance policy,201-500% FPL per the financial Assistance policy,Yes per the Financial Assistance policy,,,,,,,,,
EAST JEFFERSON GENERAL HOSPITAL,METAIRIE,,LA,,4200 HOUMA BLVD,Other not-for-profit (including NFP Corporation),LCMC Health          ,412,No,Yes,Financial Assistance Policy (lcmchealth.org),Included in FAP,At or below 250% FPL per FAP,251-400% FPL per FAP,"Yes, per Financial Assistance policy","Yes, per the Financial Assistance Policy, (Medical Hardship), ""financial assistance provided to eligible patients with annualized family incomes in excess of 400% of the Federal Poverty Level, with hospital charges in excess of 20% of the family income.""",No; not mentioned in the FAP but geographic restriction is not a practice of the hospital per LaDana Williams,No; not mentioned in the FAP but  not a practice of the hospital per LaDana Williams,"Yes, per FInancial Assistance/B & C policy",No; not mentioned in the FAP but  not a practice of the hospital per LaDana Williams,No; mentioned in the FAP ECA definitions only; but  not a practice of the hospital per LaDana Williams,No; mentioned in the FAP ECA definitions only; but  not a practice of the hospital per LaDana Williams,"No ... Per LaDana Williams ""East Jefferson General Hospital does not restrict non-emergency care, but will request upfront payment for elective/non-emergency services outlined in the policy"".",
"OCHSNER MEDICAL CENTER - NORTHSHORE, L L C",SLIDELL,,LA,,100 MEDICAL CENTER DRIVE,Other not-for-profit (including NFP Corporation),Ochsner Health,83,No,Yes,Microsoft Word - OLHS.REV.01 Financial Assistance 2022 Revisions (ochsnerlsuhs.org),Microsoft Word - OLHS.REV.02 Patient Billing and Collections Process FINAL (ochsnerlsuhs.org),Below 250% FPL per Financial Assistance Policy,>250% FPL assistance available case-by-case basis,"No explicit mention of assets in the FAP or on the FA applicatio; per Kathryn Hobgood ""We utilize a third-party screening tool to obtain the patient’s FPL information.  If the tool shows something different than what the patient presents, we provide the patient with an application.""",No per the Financial Assistance Policy,"Yes, Louisiana or Mississippi per the Financial Assistance Policy",No; Ochsner Health does not engage in ECA's per the Billing and Collections Policy,"Yes, per the Billing and Collections Policy (no ECA's)","No; not mentioned inthe policies, but not a practice of the Ochsner Health System per Kathryn Hobgood",No; Ochsner Health does not engage in ECA's per the Billing and Collections Policy,No; Ochsner Health does not engage in ECA's per the Billing and Collections Policy,"Not for patients who qualify for FA; not mentioned inthe policies, but not a practice of the Ochsner Health System per Kathryn Hobgood",
OCHSNER LSU HEALTH SHREVEPORT-ST MARY MEDICAL CENT,SHREVEPORT,,LA,,1 ST MARY PLACE,Other not-for-profit (including NFP Corporation),Ochsner Health,162,Yes,Yes,Microsoft Word - OLHS.REV.01 Financial Assistance 2022 Revisions (ochsnerlsuhs.org),Microsoft Word - OLHS.REV.02 Patient Billing and Collections Process 2022 FINAL (ochsnerlsuhs.org),Below 250% FPL per Financial Assistance Policy,,"No explicit mention of assets in the FAP or on the FA applicatio; per Kathryn Hobgood ""We utilize a third-party screening tool to obtain the patient’s FPL information.  If the tool shows something different than what the patient presents, we provide the patient with an application.""",No per the Financial Assistance Policy,"Yes, Louisiana, AK, TX, MS, per the Financial Assistance Policy",No; Ochsner Health does not engage in ECA's per the Billing and Collections Policy,"Yes, per the Billing and Collections Policy (no ECA's)","No; not mentioned inthe policies, but not a practice of the Ochsner Health System per Kathryn Hobgood",No; Ochsner Health does not engage in ECA's per the Billing and Collections Policy,No; Ochsner Health does not engage in ECA's per the Billing and Collections Policy,"Not for patients who qualify for FA; not mentioned inthe policies, but not a practice of the Ochsner Health System per Kathryn Hobgood",
ACADIA ST LANDRY HOSPITAL,CHURCH POINT,,LA,,810 SOUTH BROADWAY STREET,Other not-for-profit (including NFP Corporation),No,25,No,No,No,No,,,,,,,,,,,,
TULANE MEDICAL CENTER,NEW ORLEANS,,LA,,1415 TULANE AVE,"Partnership, Investor-owned, for-profit",HCA Healthcare                   ,543,No,No,No,No,"Emergency care for patients with income under 200% of FPL, according to HCA Patient Financial Support summary","Emergency care for patients 200-400% of FPL, according to HCA Patient Financial Support summary","No, according to HCA spokesman Harlow Sumerford","Not mentioned in HCA charity care policy, but patient liability is capped at 4% of income, according to HCA spokesman Harlow Sumerford","No, according to HCA spokesman Harlow Sumerford","No, according to HCA Patient Financial Support summary","Not mentioned in HCA Patient Financial Support summary, but is a policy of the hospital, according to HCA spokesman Harlow Sumerford","Not mentioned in HCA Patient Financial Support summary, but not a policy of the hospital, according to HCA spokesman Harlow Sumerford","No, according to HCA Patient Financial Support summary","No, according to HCA Patient Financial Support summary",,
NORTH SHORE MEDICAL CENTER -,SALEM,,MA,,81 HIGHLAND AVENUE,Other not-for-profit (including NFP Corporation),Mass General Brigham               ,356,No,Yes,https://www.massgeneralbrigham.org/sites/default/files/2020-06/Financial-Assistance-Policy-English.pdf,https://www.massgeneralbrigham.org/sites/default/files/2020-06/Credit-Collection-Policy-English.pdf,Below 150% FPL,150-300% FPL,"Yes, assets less than $10,000 for first family member with additional $3,000 for each additional family member",Yes - If bill is 30% of income for 300-600% FPL; if 40% of income for over 600% FPL,Yes,"Yes, though policy says hospital ""does not typically report""",Yes,"Not mentioned in the Credit and Collections Policy but not a practice of the hospital, according to Peggy Slasman",Yes,Yes,"Yes, but not for emergency or urgent services",
